,selling_price,km_driven,engine,Automatic,Manual,Diesel,age
11018,7.5,55000.0,1498.0,0,1,1,6.0
11019,4.5,43000.0,1197.0,0,1,0,8.0
11020,4.75,87000.0,1197.0,0,1,0,7.0
11021,7.0,120000.0,1461.0,0,1,1,7.0
11022,7.8,13700.0,1497.0,0,1,0,5.0
11023,5.39,31975.0,1497.0,0,1,0,6.0
11024,11.75,30000.0,1461.0,0,1,1,3.0
11025,8.88,40000.0,1498.0,0,1,1,5.0
11026,4.5,100000.0,1198.0,0,1,1,5.0
11027,2.85,11000.0,796.0,0,1,0,5.0
11028,3.5,160000.0,2523.0,0,1,1,11.0
11029,1.8,60000.0,1396.0,0,1,1,10.0
11030,2.25,82000.0,1596.0,0,1,0,14.0
11031,1.29,36259.0,998.0,0,1,0,13.0
11032,2.25,30000.0,1197.0,1,0,0,11.0
11033,3.79,36000.0,1197.0,0,1,0,6.0
11034,4.78,4000.0,998.0,1,0,0,5.0
11035,3.5,40000.0,1120.0,0,1,1,9.0
11036,1.4,25000.0,1599.0,0,1,0,13.0
11037,8.0,25000.0,1248.0,0,1,1,3.0
11038,4.25,67067.0,1248.0,0,1,1,8.0
11039,12.0,40000.0,1461.0,0,1,1,4.0
11040,4.5,90000.0,1248.0,0,1,1,6.0
11041,11.0,30000.0,2179.0,0,1,1,4.0
11042,5.0,61000.0,1461.0,0,1,1,9.0
11043,1.9,50000.0,998.0,0,1,0,10.0
11044,6.35,78000.0,1498.0,0,1,1,5.0
11045,2.1,78000.0,998.0,0,1,0,11.0
11046,7.5,9900.0,1248.0,0,1,1,3.0
11047,3.3,161000.0,1461.0,0,1,1,8.0
11048,3.35,55000.0,1598.0,0,1,0,9.0
11049,3.5,32000.0,998.0,0,1,0,7.0
11050,11.5,85000.0,1582.0,0,1,1,4.0
11051,5.65,28000.0,1498.0,1,0,1,6.0
11052,3.75,40833.0,1497.0,1,0,0,11.0
11053,17.5,45000.0,1968.0,1,0,1,9.0
11054,4.0,70000.0,1461.0,0,1,1,9.0
11055,7.8,22000.0,2523.0,0,1,1,4.0
11056,2.4,40000.0,1086.0,0,1,0,9.0
11057,3.99,49000.0,2179.0,0,1,1,12.0
11058,6.5,80000.0,1493.0,0,1,1,6.0
11059,2.6,51703.0,814.0,0,1,0,9.0
11060,2.7,18000.0,796.0,0,1,0,5.0
11061,3.0,30000.0,998.0,0,1,0,6.0
11062,15.0,40000.0,1582.0,0,1,1,3.0
11063,4.85,29000.0,1197.0,0,1,0,5.0
11064,8.25,40000.0,1373.0,0,1,0,3.0
11065,1.2,77932.0,1405.0,0,1,1,13.0
11066,1.75,120000.0,1248.0,0,1,1,10.0
11067,6.6,54287.0,1248.0,0,1,1,6.0
11068,4.0,40000.0,1196.0,0,1,0,3.0
11069,4.1,19000.0,998.0,0,1,0,5.0
11070,19.5,30000.0,2393.0,0,1,1,5.0
11071,4.44,70000.0,1197.0,0,1,0,7.0
11072,3.2,68000.0,998.0,0,1,0,6.0
11073,7.8,10000.0,1373.0,0,1,0,4.0
11074,8.16,5000.0,1497.0,0,1,0,2.0
11075,27.9,36000.0,2143.0,1,0,1,6.0
11076,4.5,50000.0,1197.0,0,1,0,7.0
11077,11.49,6076.0,1497.0,0,1,0,3.0
11078,10.5,15000.0,1498.0,0,1,1,3.0
11079,4.75,80900.0,1498.0,0,1,1,8.0
11080,9.25,15000.0,2494.0,0,1,1,8.0
11081,15.25,40000.0,2179.0,0,1,1,3.0
11082,1.7,60000.0,1061.0,0,1,0,12.0
11083,3.75,29035.0,1199.0,0,1,0,6.0
11084,6.5,150000.0,2179.0,0,1,1,7.0
11085,5.7,20000.0,1197.0,0,1,0,4.0
11086,1.95,61000.0,2179.0,0,1,1,12.0
11087,12.99,97000.0,2982.0,0,1,1,10.0
11088,2.85,49163.0,796.0,0,1,0,7.0
11089,9.0,21000.0,1497.0,0,1,1,4.0
11090,7.75,13500.0,1199.0,0,1,0,3.0
11091,8.0,2500.0,2523.0,0,1,1,2.0
11092,0.97,60000.0,796.0,0,1,0,14.0
11093,3.2,10000.0,998.0,0,1,0,4.0
11094,10.5,90000.0,1968.0,1,0,1,8.0
11095,5.15,40000.0,1197.0,0,1,0,4.0
11096,4.2,19000.0,1199.0,0,1,0,6.0
11097,3.75,36036.0,1198.0,0,1,0,5.0
11098,9.5,30000.0,1498.0,0,1,1,4.0
11099,4.35,28500.0,1498.0,0,1,1,7.0
11100,7.3,14000.0,1248.0,0,1,1,4.0
11101,3.6,36000.0,814.0,0,1,0,7.0
11102,5.49,34105.0,1582.0,0,1,1,7.0
11103,2.35,60000.0,998.0,0,1,0,10.0
11104,1.0,70000.0,995.0,0,1,0,12.0
11105,2.06,27500.0,799.0,0,1,0,5.0
11106,2.9,36000.0,1198.0,0,1,0,7.0
11107,6.0,120000.0,2179.0,1,0,1,10.0
11108,0.85,50000.0,995.0,0,1,0,12.0
11109,7.0,39000.0,1497.0,0,1,0,6.0
11110,8.0,120000.0,2494.0,0,1,1,10.0
11111,3.93,32000.0,1197.0,0,1,0,8.0
11112,4.5,9700.0,1498.0,0,1,1,6.0
11113,8.5,165000.0,2494.0,0,1,1,10.0
11114,24.0,13000.0,2157.0,1,0,1,4.0
11115,10.0,98000.0,2494.0,0,1,1,9.0
11116,4.5,26000.0,1197.0,0,1,0,5.0
11117,4.15,3192.0,998.0,0,1,0,5.0
11118,12.5,15000.0,1591.0,1,0,0,3.0
11119,5.4,17012.0,1199.0,1,0,0,6.0
11120,6.5,5000.0,1197.0,0,1,0,3.0
11121,3.19,60000.0,1197.0,0,1,0,9.0
11122,3.25,17800.0,1086.0,0,1,0,8.0
11123,4.0,70000.0,1461.0,0,1,1,10.0
11124,6.35,26000.0,1199.0,0,1,0,5.0
11125,7.0,40000.0,1461.0,0,1,1,7.0
11126,2.25,30000.0,799.0,0,1,0,6.0
11127,5.0,100000.0,1498.0,0,1,1,6.0
11128,7.25,16000.0,1498.0,0,1,1,6.0
11129,2.9,85000.0,1198.0,0,1,0,8.0
11130,1.0,40000.0,1193.0,0,1,0,13.0
11131,3.19,43500.0,998.0,0,1,0,8.0
11132,3.0,90000.0,2499.0,0,1,1,13.0
11133,6.25,1332.0,1197.0,0,1,0,2.0
11134,4.75,55204.0,1248.0,0,1,1,9.0
11135,3.5,50000.0,1396.0,0,1,1,11.0
11136,10.0,24500.0,1396.0,0,1,1,3.0
11137,5.9,10261.0,1496.0,0,1,0,4.0
11138,5.0,48649.0,1498.0,0,1,1,6.0
11139,4.2,15000.0,998.0,0,1,0,3.0
11140,2.45,71523.0,1199.0,0,1,0,6.0
11141,8.5,40000.0,2179.0,0,1,1,9.0
11142,9.0,40000.0,1497.0,0,1,1,3.0
11143,2.1,11500.0,998.0,0,1,0,10.0
11144,0.9,40000.0,1086.0,0,1,0,14.0
11145,10.3,70000.0,2179.0,1,0,1,6.0
11146,2.7,21900.0,998.0,0,1,0,6.0
11147,1.75,56000.0,1196.0,0,1,0,10.0
11148,5.25,53860.0,2498.0,0,1,1,9.0
11149,4.25,70000.0,1248.0,0,1,1,7.0
11150,5.0,35000.0,1196.0,0,1,0,6.0
11151,12.5,60000.0,2179.0,1,0,1,5.0
11152,4.75,65000.0,1248.0,0,1,1,7.0
11153,5.5,140000.0,1248.0,0,1,1,4.0
11154,3.0,80000.0,1493.0,0,1,1,9.0
11155,4.9,7000.0,999.0,1,0,0,3.0
11156,21.0,19000.0,2179.0,1,0,1,8.0
11157,3.0,70000.0,1193.0,0,1,0,5.0
11158,4.1,34000.0,1197.0,0,1,0,6.0
11159,11.0,60000.0,2179.0,0,1,1,4.0
11160,1.3,53000.0,1086.0,0,1,0,13.0
11161,3.0,59060.0,1198.0,0,1,0,8.0
11162,4.49,29432.0,1498.0,0,1,1,6.0
11163,4.99,49000.0,1199.0,0,1,0,6.0
11164,1.8,120000.0,1248.0,0,1,1,12.0
11165,6.8,15000.0,1197.0,1,0,0,4.0
11166,4.5,60500.0,1248.0,0,1,1,9.0
11167,5.5,15000.0,1197.0,0,1,0,4.0
11168,7.5,90000.0,1248.0,0,1,1,5.0
11169,7.3,50000.0,1498.0,0,1,1,4.0
11170,2.5,70000.0,1196.0,0,1,0,7.0
11171,1.75,35000.0,796.0,0,1,0,9.0
11172,3.8,225000.0,2523.0,0,1,1,8.0
11173,3.35,35000.0,1198.0,0,1,0,9.0
11174,6.6,180000.0,2494.0,0,1,1,11.0
11175,5.8,5600.0,1197.0,0,1,0,2.0
11176,10.2,50000.0,1497.0,1,0,1,4.0
11177,5.25,23114.0,1197.0,0,1,0,7.0
